domain,canonical_tag,uses,variants
deadline.com,Dead,2651,Dead|Deadline|dead|IW|THR|Var
variety.com,Var,2632,Var|Variety|THR|var|Dead|Deadline
techcrunch.com,TC,1996,TC|raised|RollingStone|Tc|GIB|Dead
hollywoodreporter.com,THR,1554,THR|THr|Thr|Var
youtube.com,YT,1202,YT|YouTube|Yt|VoxYT|Vice|Wired
nytimes.com,NYT,1009,NYT|NYt|NYTMag|NYToped|NYMag|N
bloomberg.com,Bberg,872,Bberg|Bloomberg|bberg|BBerg|Bboard|BW
wsj.com,WSJ,790,WSJ|Reuters|TC|Journal|R29|NYT
medium.com,Med,690,Med|Medium|FT|CheddarMed|MIT|MITMedia
theverge.com,Verge,627,Verge|The Verge|verge|comparing themselves to A24
venturebeat.com,VB,523,VB|VentureBeat|TC|Verge|V|HN
axios.com,Axios,448,Axios|Wisk|NYT|Axio
twitter.com,Twtr,408,Twtr|JWtwtr|Stwtr|Ntwtr|EMtwtr|MCtwtr
indiewire.com,IW,402,IW|IndieWire|Iw
cnbc.com,CNBC,371,CNBC|CNBc
theinformation.com,Info,354,Info|Information|info|Infomation|TheInformation|WSJ
reuters.com,Reuters,342,Reuters|Reut|reut|Info|OSblog
prnewswire.com,Cision,290,Cision|Cis|PRNewswire|Newswire|PRnews|PR
businesswire.com,BW,273,BW|Bw|BusinessWire|Fins
wired.com,Wired,247,Wired|Ringer
forbes.com,Forbes,222,Forbes|Forb
finsmes.com,Fins,189,Fins|Finsmes|FinSME|Fin|Cis|Forbes
fastcompany.com,Fastco,187,Fastco|FastCo|FC|Fascto|Medium|Fast Company
interviewmagazine.com,Interview,177,Interview|InterviewMag|Best|Overlooked|interview|Int
newyorker.com,NewYorker,143,NewYorker|Newyorker|New Yorker|NEwYorker|NY
seekingalpha.com,SA,135,SA|SeekingAlpha
theatlantic.com,Atlantic,132,Atlantic|NPR
arxiv.org,PDF,125,PDF|Arv|Pdf|Arx|PDf
technologyreview.com,MIT,122,MIT|MIt|TechR|Mit|TR
businessinsider.com,BI,120,BI|Insider|Bi
nielsen.com,Nielsen,117,Nielsen|Niels|Niel|N
